Note	Gain
21	1.199454665184021
22	1.4750789403915405
23	1.4723819494247437
24	1.464374303817749
25	0.9991844892501831
26	0.9989191293716431
27	1.3857533931732178
28	1.3859306573867798
29	1.3858962059020996
30	1.1701892614364624
31	1.173709511756897
32	1.1707888841629028
33	1.3168566226959229
34	1.3180274963378906
35	1.3299723863601685
36	1.2078895568847656
37	1.0610544681549072
38	1.0576454401016235
39	1.048240065574646
40	1.0522992610931396
41	1.0592265129089355
42	1.0601357221603394
43	1.0617352724075317
44	1.410332202911377
45	1.4080201387405396
46	1.39784836769104
47	1.368884801864624
48	1.3827277421951294
49	1.1505777835845947
50	1.1393895149230957
51	1.5568478107452393
52	1.5685604810714722
53	1.8442952632904053
54	1.842771053314209
55	1.8406168222427368
56	1.7617082595825195
57	1.762891173362732
58	0.9855183362960815
59	0.9863798022270203
60	0.9872993230819702
61	1.2810375690460205
62	1.2808996438980103
63	1.3265717029571533
64	1.334548830986023
65	1.2844696044921875
66	2.042609214782715
67	2.084606647491455
68	1.073793649673462
69	1.0718498229980469
70	1.891870379447937
71	1.898958444595337
72	1.8967951536178589
73	2.431565761566162
74	2.373802900314331
75	1.424696922302246
76	1.4239110946655273
77	1.428237795829773
78	1.3797752857208252
79	1.3982325792312622
80	1.1975269317626953
81	1.1976068019866943
82	1.1210933923721313
83	1.1328701972961426
84	1.3204654455184937
85	1.850490927696228
86	1.8453906774520874
87	1.2016079425811768
88	1.1984776258468628
89	1.0534658432006836
90	1.3727165460586548
91	1.3596843481063843
92	1.7198213338851929
93	1.7166250944137573
94	1.148959994316101
95	1.1156320571899414
96	1.9330312013626099
97	2.115475654602051
98	2.1467456817626953
99	2.1352617740631104
100	2.1805455684661865
101	1.9178738594055176
102	1.9125622510910034
103	2.1010634899139404
104	2.8737635612487793
105	2.8859336376190186
106	3.0540223121643066
107	3.0319128036499023
108	3.208176374435425
