Note	Gain
21	1.254225730895996
22	1.0078710317611694
23	1.095878005027771
24	1.2629814147949219
25	1.2728568315505981
26	1.1051666736602783
27	1.2924326658248901
28	1.084271788597107
29	1.1175607442855835
30	1.0963126420974731
31	1.0422261953353882
32	1.1753120422363281
33	0.9810212850570679
34	1.1652717590332031
35	1.0684764385223389
36	0.974861741065979
37	1.0685503482818604
38	1.0442543029785156
39	0.9684341549873352
40	0.9821040034294128
41	1.2326754331588745
42	1.355142593383789
43	1.3477510213851929
44	1.0617129802703857
45	1.0705513954162598
46	1.0174750089645386
47	1.0245696306228638
48	1.0472607612609863
49	1.2342424392700195
50	1.2457661628723145
51	1.1973146200180054
52	1.0482516288757324
53	1.310128927230835
54	1.1626566648483276
55	1.084768295288086
56	1.1024314165115356
57	1.1624367237091064
58	1.3915319442749023
59	1.07454514503479
60	1.1363916397094727
61	1.1210259199142456
62	1.254490613937378
63	1.0511829853057861
64	1.529532790184021
65	1.1343436241149902
66	1.206487774848938
67	1.3267444372177124
68	1.4862842559814453
69	1.4757394790649414
70	1.4836698770523071
71	1.2947485446929932
72	1.5978275537490845
73	1.1290687322616577
74	1.1252363920211792
75	1.0474961996078491
76	1.154958724975586
77	1.1188807487487793
78	1.0721582174301147
79	1.9318181276321411
80	1.5168877840042114
81	1.0137310028076172
82	1.9761015176773071
83	1.5680174827575684
84	1.09676992893219
85	1.1910552978515625
86	1.1864742040634155
87	1.446859359741211
88	1.4636926651000977
89	1.2540684938430786
90	1.6331018209457397
91	1.6343371868133545
92	1.3739577531814575
93	1.3780953884124756
94	0.9915570616722107
95	0.9670186042785645
96	1.2520006895065308
97	1.7517905235290527
98	2.5961790084838867
99	2.224608898162842
100	2.5542654991149902
101	2.8170807361602783
102	2.2005133628845215
103	4.493015289306641
104	1.8128769397735596
105	3.161409854888916
106	3.6251614093780518
107	3.5186452865600586
108	3.727283239364624
