Note	Gain
21	1.15524160861969
22	1.155863881111145
23	1.1563297510147095
24	1.155366063117981
25	1.1583633422851562
26	0.9631233215332031
27	0.9674201011657715
28	0.9639544486999512
29	1.0076031684875488
30	1.0104933977127075
31	1.0096303224563599
32	1.016401767730713
33	1.0127476453781128
34	1.0136723518371582
35	1.0884754657745361
36	1.0907213687896729
37	1.0890207290649414
38	1.049902319908142
39	1.0489715337753296
40	1.0462974309921265
41	1.1995723247528076
42	1.2004343271255493
43	1.1993471384048462
44	1.0116382837295532
45	1.0098680257797241
46	1.012442708015442
47	0.9995906949043274
48	1.00674569606781
49	1.002575159072876
50	1.0691039562225342
51	1.0855978727340698
52	1.0742881298065186
53	1.0920408964157104
54	1.0875390768051147
55	1.0970408916473389
56	1.0916613340377808
57	1.0907440185546875
58	1.0907124280929565
59	1.204997181892395
60	1.2132619619369507
61	1.2145484685897827
62	1.075559377670288
63	1.0739047527313232
64	1.0703470706939697
65	1.3897669315338135
66	1.3912593126296997
67	1.404539942741394
68	1.0633361339569092
69	1.070112705230713
70	1.062995433807373
71	1.0969423055648804
72	1.1139696836471558
73	1.0962902307510376
74	1.2812069654464722
75	1.2888001203536987
76	1.2732620239257812
77	1.2637602090835571
78	1.2736775875091553
79	1.2702080011367798
80	1.0893938541412354
81	1.097002625465393
82	1.0872553586959839
83	2.214817523956299
84	2.2288148403167725
85	2.2183194160461426
86	1.2605680227279663
87	1.2541747093200684
88	1.2820930480957031
89	1.4169337749481201
90	1.4006098508834839
91	1.3994457721710205
92	1.8061251640319824
93	1.7906283140182495
94	1.8090970516204834
95	1.4186021089553833
96	1.3963046073913574
97	1.4120564460754395
98	1.0197757482528687
99	1.034397840499878
100	1.0171698331832886
101	1.4261335134506226
102	1.4463386535644531
103	1.4141851663589478
104	1.497097134590149
105	1.4414918422698975
106	1.4824939966201782
107	2.1784005165100098
108	2.1838314533233643
